did,handle,score,is_instant,in_quorum
did:plc:6zoahc2kzzglkk25557xfurw,warriorbear75.bsky.social,0.5725,False,False
did:plc:ipx2rh2yjg2sjjwqby3yzjcd,antifahater18.bsky.social,0.5725,False,False
did:plc:s37orzkvdwreqq3upuko5vqw,mikassa2020.bsky.social,0.5725,False,False
did:plc:rabnnnaqowpqplgquutrlohs,erwin-rommel.bsky.social,0.5725,False,False
did:plc:yjskg26qhql42nevl24rcuko,deydrihm.bsky.social,0.5725,False,False
did:plc:rrjznpkghkglp4jgzlmhnu4k,mustermann1990.bsky.social,0.5725,False,False
did:plc:zebk5yggofstnps7xesv3kay,plotzenhotz70.bsky.social,0.5725,False,False
did:plc:bahceooq6jks2amqhhb6boaj,blaupause84.bsky.social,0.5725,False,False
did:plc:wvnra2eddxfvylkh7ubfqx35,tsheffield.bsky.social,0.5725,False,False
did:plc:f6xisg35rrjfk5wqyke4wkai,zipfelklatscher.bsky.social,0.565,False,False
did:plc:gl67ixfoposw4ocqeeoyemhf,ice4germany.bsky.social,0.565,False,False
did:plc:rnglwehampub3e4utrnir5ky,rm-ga.bsky.social,0.565,False,False
did:plc:yp6fzrzm5fap36rbzopb4tef,anders-73.bsky.social,0.565,False,False
did:plc:jnpjbt6j72xhjtluhe3x5ddj,(deleted),0.565,False,False
did:plc:rsurfdhqauyo4d7i76flh7ic,matthiaskant.bsky.social,0.565,False,False
did:plc:dq7fenfzsj42maufbccul5mo,tini27.bsky.social,0.565,False,True
did:plc:zglwskyjn64qjo5wddireyul,nischo06.bsky.social,0.565,False,False
did:plc:7u6yzhskqadfyuczkpkmuudw,uwe30.bsky.social,0.565,False,False
did:plc:rbulj6aukhepp4yybgerlt4l,pierogifresse.bsky.social,0.565,False,False
did:plc:xrouqtixr5ntw6xofxwqel5j,benjaminkaiser.bsky.social,0.565,False,False
did:plc:a6gxbvzyjkhmcamg2ys4gnfm,alterpolitologe.bsky.social,0.565,False,False
did:plc:ktifo7garscobvbu46immd2e,sanvanden.bsky.social,0.565,False,False
did:plc:7d2qunmp3h4ootnhxzywix4u,lebo75.bsky.social,0.565,False,False
did:plc:tyvlhja5pfhokjdu7g3yvovr,klardenker.bsky.social,0.565,False,False
did:plc:v6565eg2mp5dv35juv6haomx,(deleted),0.565,False,False
did:plc:ei6njdjkxl5gbo2noc2qzqwo,michl81.bsky.social,0.565,False,False
did:plc:fogutqnqbhy2mwwsyvk5opdd,reinfurt.bsky.social,0.565,False,True
did:plc:kxrokvq3bxypi22y5h7tgbur,rechtsvorlinks77.bsky.social,0.565,False,False
did:plc:bsneu4uyduvhyzh76x2i3dgs,naddl70.bsky.social,0.565,False,False
did:plc:xvkebne4t76wj6i2omd54z45,chaessli.bsky.social,0.55,False,True
did:plc:uzcwicaovmq6oa34kgg57yx6,npub12hhpljjshyz34.bsky.social,0.55,False,True
did:plc:4fdaj3ytvtpxwya2trda2xl4,thecoldjack.bsky.social,0.55,False,True
did:plc:xdult52k6nlbcxjp2w5aru2k,afd-kyf.bsky.social,0.55,False,False
did:plc:p27o2er6stmpkqmu6e7qflus,sis-sel.bsky.social,0.55,False,False
did:plc:2oxcprdtougqr3yz6ydg4eom,jo0526.bsky.social,0.55,False,False
did:plc:75gvqxuqukz2igwell2us43f,lowrider64.bsky.social,0.55,False,True
did:plc:m3cz7dcxaotk7crxydnwi54z,futureisblue93.bsky.social,0.55,False,False
did:plc:5ncv64dqmdxsvfeuxoluisro,d-eki.bsky.social,0.55,False,False
did:plc:afmrvt43droyawt4hcsi6brk,diefroschkoenigin.bsky.social,0.55,False,False
did:plc:eoghyjrw7wddsyr7c3qlkfxn,sozialpatriot1990.bsky.social,0.55,False,False
did:plc:rar4eqnexhjzcgrxsndipkq4,inga00.bsky.social,0.55,False,False
did:plc:giqubjjvj2rjgdsaugwzpxrd,ralphreicht.bsky.social,0.5488461538461539,True,False
did:plc:qeey5krfdn673fffnu24gp4u,chrissi996.bsky.social,0.5457692307692308,True,False
did:plc:turfmrmj72hwfhqjchcjopgs,kl-arname.bsky.social,0.5425,False,False
did:plc:urkb4cw74xteqwxthvsk2ybg,hoeckebestermann.bsky.social,0.5425,False,False
did:plc:hboiok55wjbk22cyjlkyhr6w,dermag.bsky.social,0.5415384615384615,True,False
did:plc:rtpucllg4eoyl3qcpm4xx4vo,backs007.bsky.social,0.535,False,False
did:plc:7vl5i6c3negaevrfhoctwdhj,gymflix.bsky.social,0.535,False,True
did:plc:mjigefie53sdasjdsgkvypnk,marvi1304.bsky.social,0.535,False,False
did:plc:23aurf2dl4oysyyssnpp7gmz,aliciamaureen.bsky.social,0.535,False,True
did:plc:33d5533wlpd3mkflcxdslhpz,howink.bsky.social,0.535,False,True
did:plc:5zfmjqan62vxgopsg2sg7iuv,zina2004.bsky.social,0.535,False,False
did:plc:mcgf53tykobswgpf67dtzlfz,liberal-l.bsky.social,0.535,False,True
did:plc:vdjbr2lnfyuvvhu2xogeey7q,kuestendeern1.bsky.social,0.535,False,False
did:plc:lf3zu7br6zu4pf5vjcvuq37i,anker23566-01.bsky.social,0.535,False,False
did:plc:sthlwmznxzxgndz6dxxoljkl,don-promillo8.bsky.social,0.535,False,True
did:plc:yh7xg6mncxlndiujm45zzzc7,hagenvontronege.bsky.social,0.535,False,True
did:plc:fxgiookqz3z4mw6fi3sunobs,henryhero11.bsky.social,0.535,False,False
did:plc:4qn7fx7syo3dgeivnu7xj3km,tunguskaevent1.bsky.social,0.535,False,False
did:plc:q2362giiox5pmft4pvuz2334,s04liberty.bsky.social,0.5342307692307693,True,False
did:plc:dt6s6hb6bgpkmj5lqqvxl6ur,amygdala712.bsky.social,0.5275,False,False
did:plc:3albbn5zf4zotwqw6dmyavnw,chrisaushessen.bsky.social,0.5263461538461538,True,False
did:plc:vpowsjebgwgpzfco45cfvagd,ixora24.bsky.social,0.5175,False,False
did:plc:kxwgvij3zwrsnwfh7a623vky,thraken.bsky.social,0.5128846153846154,False,False
did:plc:opkvnq5ygmhm3hvwcbsqr4pw,gamp79.bsky.social,0.5125,False,True
did:plc:f3kucksw4n3yecokds3ogtem,hj-crc.bsky.social,0.5125,False,True
did:plc:uh34mas6g7ltzolpzvfoekil,privatsekretariat.bsky.social,0.5125,False,True
did:plc:4stomiystulig2in5kemy76u,weltschmerzkind.bsky.social,0.5125,False,False
did:plc:uvgfs57fqxf3gqlbdbdy3xrb,heon1474.bsky.social,0.505,False,False
did:plc:znpjtp47blcf7kbgzlyvnzfc,adekas.bsky.social,0.505,False,False
did:plc:6ogri2t7aod77gadq7u2q3hg,sina1977.bsky.social,0.505,False,False
did:plc:57z77cfmagnmsonauuqiapb6,zielereicher.bsky.social,0.505,False,False
did:plc:2vqe6lu3gauxhlfbs6ltnu3n,fickfackdebecker.bsky.social,0.505,False,False
did:plc:6crxaws4jv5hq3qt6e6tn4ev,haunebu.bsky.social,0.505,False,False
did:plc:kxrdbii7ogqck7itismghora,(deleted),0.505,False,False
did:plc:5idkam2ynaumgofyaypenop3,stefanhartl.bsky.social,0.5034615384615384,False,False
did:plc:nw6ypj5ne2h76t6saqzwreih,tlippert.bsky.social,0.5025,False,False
